Código;Nome;Dependência Administrativa;Endereço;Bairro
17005582;Escola Municipal Benedito Canuto Braga;Municipal;RUA N  175 LOTEAMENTO SAO LUIZ;LOTEAMENTO SAO LUIZ
17005620;Escola Municipal Cabo Luzimar Machado;Municipal;RUA PAU BRASIL  S/N  CAIXA POSTAL 263 PONTE;SETOR PONTES
17005990;Escola Municipal Professora Josefa Dias da Silva;Municipal;RUA DOS JATOBAS  S/N LOTEAMENTO ARAGUAINA SUL;ARAGUAINA SUL
17006244;Escola Municipal Vereador Raimundo Falcao Coelho;Municipal;RUA NORTE SUL  252 SETOR TIUBA;SETOR TIUBA
17005434;Escola Municipal Moderna Professora Maria dos Anjos Carreiro;Municipal;RUA RODOVIARIA  S/N LOTEAMENTO BARROS;BARROS
17005647;Escola Municipal Casemiro Ferreira Soares;Municipal;RUA RIO LONTRA  393 SETOR URBANO;SETOR URBANO
17006201;Escola Municipal Tereza Hilario Ribeiro;Municipal;RUA DO COLEGIO  S/Nº SETOR RAIZAL;RAIZAL
17006210;Escola Municipal Tomaz Batista;Municipal;RUA 8  48 VILA ALIANCA;VILA ALIANCA
17041538;Escola Municipal Vereador Arnon Ferreira Leal;Municipal;RUA 8  SN  ESQUINA COM A RUA 13 CONJUNTO RESIDENCIAL PATROCINIO;VILA PATROCINIO
17005531;Escola Municipal Meu Castelinho;Municipal;RUA 24  S/N SETOR OESTE;SETOR OESTE
17005566;Escola Municipal Aurelio Buarque de Holanda;Municipal;RUA TREZE DE ABRIL  130 VILA ROSARIO;NEBLINA
17006147;Escola Municipal Sao Miguel;Municipal;RUA 01  S/N  EM FRENTE A PRACA BARRA DA GROTA;BARRA DA GROTA POVOADO
17041481;Escola Paroquial Sao Vicente de Paulo;Municipal;AVENIDA CONTORNO  366 VILA COUTO MAGALHAES;VILA COUTO MAGALHAES
17050510;Escola Municipal Jose Ferreira Barros;Municipal;RUA FERRAZ DE CAMARGO  S/N  QUADRA 14 LOTEAMENTO CEU AZUL;CEU AZUL
17006090;Escola Paroquial Sao Domingos;Municipal;AVENIDA SANTA TEREZINHA  84 SANTA TEREZINHA;SETOR SANTA TEREZINHA
17006260;Escola Municipal Zeca Barros;Municipal;RUA CANTINHO DO VOVO  476 VILA SANTIAGO;VILA SANTIAGO
17005728;Escola Municipal Dr Cesar Belmino Evangelista;Municipal;AVENIDA BRASIL  S/N  QD. 24 LT. AP SETOR TEREZA HILARIO;TEREZA HILARIO RIBEIRO
17005744;Escola Municipal Dr Simao Lutz Kossobutzki;Municipal;RUA DAS JAQUEIRAS  329 LOTEAMENTO ARAGUAINA SUL;ARAGUAINA SUL
17053072;Escola Municipal Francisco Bueno de Freitas Pastor Fiico;Municipal;RUA PERDIZ  195 LOTEAMENTO MARACANA;MARACANA
17050022;Escola Municipal Santa Luzia;Municipal;RUA 1  S/N  ESQUINA C RUA JUREMA VILA SANTA LUZIA;SETOR SANTA LUZIA
17055318;Escola Municipal Luiz Gonzaga;Municipal;AVENIDA ADOLFO JUNIOR  S/N  QD 22 LT 01 LOTEAMENTO COSTA ESMERALDA IV;LOTEAMENTO COSTA ESMERALDA
17054478;Escola Municipal William Castelo Branco Martins;Municipal;RUA ESTRELA DO ORIENTE  425 PARQUE SONHOS DOURADOS;PARQUE SONHOS DOURADOS
17053080;Escola Municipal Domingos de Souza Lemos;Municipal;RUA DAS ORQUIDEAS  S/N  QD- F JARDIM FLORES;JARDIM DAS FLORES
17005850;Escola Municipal Manoel Lira;Municipal;RUA 30 LOTEAMENTO NOVA ARAGUAINA;NOVA ARAGUAINA
17005981;Escola Municipal Prefeito Joao de Sousa Lima;Municipal;RUA CAMPOS ELISIOS  S/N LOTEAMENTO PLANALTO;SETOR PLANALTO
17005361;Escola Municipal Joaquim de Brito Paranagua;Municipal;AVENIDA TIRADENTES  1715 SETOR CARAJAS;SETOR CARAJAS
17005884;Escola Municipal Maria da Conceicao Costa Luz;Municipal;RUA DOS CANDANGOS  S/Nº JARDIM PAULISTA;JARDIM PAULISTA
17006155;Escola Municipal Sao Vicente de Paula;Municipal;RUA DAS PARREIRAS  S/Nº LOTEAMENTO ARAGUAINA SUL;ARAGUAINA SUL
17056330;Escola Municipal Jose Gomes Sobrinho;Municipal;AVENIDA BRASIL QUADRA 21  S/Nº MONTE SINAI;MONTE SINAI
17005760;Escola Municipal Gentil Ferreira Brito;Municipal;RUA CUIABA  S/N SETOR BRASIL;SETOR BRASIL
17056047;Escola de Tempo Integral Joaquim Carlos Sabino dos Santos;Municipal;RUA 31 QUADRA 04 LOTE 04  S/N LOTEAMENTO PARQUE DO LAGO;PARQUE DO LAGO
17005825;Escola Municipal Leia Raquel Dias Mota;Municipal;RUA BUTIA  S/N VILA RIBEIRO;VILA RIBEIRO
17005949;Escola Municipal Olavo Bilac;Municipal;RUA SAO JOAO  49 JARDIM DAS PALMEIRAS DO NORTE;JARDIM DAS PALMEIRAS DO NORTE
